"6778ab72-ead2-40f9-bf4b-225d9e754104","MimiO'Halloran118712345@ibm.com","7VGWGLVDD5U0FYDQ632B","Mimi","O'Halloran","9467 US Highway 301 Avn Raleigh NC"
"6fe9f387-79df-4a0c-bb07-3417b3001324","YokoRhys611012345@unc.edu","L41F9NPMLIDCYIG4FK2W","Yoko","Rhys","3926 Maple St. Paris TX"
"ef95a1bf-bfba-4e94-bfbe-8bb16c6f9e5c","AlexandraKing3509personal@gmail.com","G5H5RI9G7US45384YO3F","Alexandra","King","9976 Memorial Avn New York NY"
"83a6dbab-7a55-480a-9b38-3a779d77fc59","BrianRhys2648mailaddress@unc.edu","T6BL8B6AAZNRFDVU6WH5","Brian","Rhys","3821 Broad Rd. Gotham NY"
"247156c0-4f74-4c62-86fa-8a7e6a573dd1","BrianO'Halloran9295email@unc.edu","8V8B2XE0WOZBTIXP5YYM","Brian","O'Halloran","8280 Trinity Dr. Asheboro NC"
"b8f803b4-35e8-45cf-a364-1f24e7e6d985","BrianRhys76official@protonmail.com","2OHLNRT98L04SS905XLJ","Brian","Rhys","6427 Duke St. Austin TX"
"2a4c05bd-40ce-4e09-8340-cb378e8e6966","MimiRhys9994personal@email.com","S6FK6YA9ML9G5FO2UUQ5","Mimi","Rhys","3007 Maple Dr. Durham NC"
"ddb7aa31-809a-43b7-aa4a-ee04521900e0","JulieOgawa428hello@fake.edu","SP8WWQ05DMJNY68M0ZUX","Julie","Ogawa","4753 Business Circle Gotham NY"
"0e82815d-e28f-4448-884e-9fa5dd93f34f","AliceFedorov5214mailaddress@gmail.com","BAT7ILPJTCPMRIZOSFH7","Alice","Fedorov","5453 Duke Circle Tuscaloosa TN"
"8d2e81b3-7ddb-4bf5-a3be-793626e03636","CarlySontag871cvwhifbv@gmail.com","SD8F6YDZDRYTZXQB0Z6X","Carly","Sontag","0433 South Rd. New York NY"
"03c13301-2de9-4873-ba73-96ae44efc527","MarkOdell2118personal@email.com","V2NMYJ5BLRYTJUQ2LLX2","Mark","Odell","7209 Broad Dr. Austin TX"
"8949488a-8250-42c9-88db-d36f0065c861","DaveHolzer4979email@duke.edu","9Z01TPT1MC3P8N7MEIR9","Dave","Holzer","9840 South St. Raleigh NC"
"4dbe6733-1ef2-409f-b59c-a65c60b8b0a1","MimiWang1742official@email.com","EQYG0GINJG0A8WKJQD6X","Mimi","Wang","2971 Mystery St. Raleigh NC"
"2fbadd40-a2c0-42e7-9f16-49e85a29380a","YokoOdell324312345@gmail.com","TGNK1Q7WKYDAX6W0XXQU","Yoko","Odell","0969 MLK Dr. Durham NC"
"1014ecb7-d103-462f-bad3-c653bd79895b","MarkPrice3187whocaresemail@email.com","QXDB9ZGUNHSM5YQGLP44","Mark","Price","4759 Main Dr. New York NY"
"6e2fe55f-ffcd-4952-9e6d-80eb0aacfc98","LukeMcCarthy1385personal@fake.edu","6JQH6HOVF2IGORLUIHDW","Luke","McCarthy","5937 Memorial St. New York NY"
"668e3897-2687-48bd-ae9c-e3b9281aa8b1","LukeKing7118whocaresemail@email.com","MTT6UEA4QPA5Y96LP964","Luke","King","4431 Broadway Rd. Fantasyland AB"
"25c8f9fd-c89c-47a0-96fe-22ed4ddbf12c","MarkHolzer8538email@ibm.com","6JPU11JEWVQJPWQEXD4U","Mark","Holzer","2297 Mystery Rd. Asheboro NC"
"ac56aa55-76d6-45ed-9a85-cc17c9ac89fd","FrankPrice372email@unc.edu","JHRLLU4HZ4K9ZIVODEJH","Frank","Price","4139 Mystery Avn Tuscaloosa TN"
"35b5faee-a007-41cc-8921-c691c553af59","MarthaPrice9868cvwhifbv@email.com","B4JPEIRUQL4O4WRRSM2P","Martha","Price","8755 Duke Circle Raleigh NC"
"0e292f88-c1d8-4ed0-a013-c824d0bebe96","BrianSontag8233whocaresemail@duke.edu","LPNIUBBV83RMM2UOFIWN","Brian","Sontag","2781 South Rd. Raleigh NC"
"716ccf11-5152-4052-8756-13c7d283aa07","JulieHolzer8866hello@duke.edu","GFN77TK7L29XRE1YXNV5","Julie","Holzer","3318 MLK Circle New York NY"
"0bc056b4-a327-4a06-9073-d397b7f5cdef","JackKing886912345@fake.edu","589N4S3DK0JNUJC9TVZ6","Jack","King","9813 Main St. Durham NC"
"4e54cf37-f265-4b81-9c9b-e57e03d35a1e","FrankHolzer633personal@protonmail.com","XMQZ3L5WPCKU7K7LROQO","Frank","Holzer","9720 Business Crt. Paris TX"
"3dbbd438-19b2-4eef-8edb-ed6d67990142","AmeliaO'Halloran6077email@fake.edu","W8N4C778SYVODCMC9KII","Amelia","O'Halloran","2518 Maple St. Gotham NY"
"d87c6433-f3ca-413a-a5f9-2ba9105fd515","BrianSontag4470personal@duke.edu","J1N84SJ3ET9WPA4UDADR","Brian","Sontag","8103 Trinity St. Paris TX"
"fef3c4b6-2249-4d24-b174-237e44ab41eb","YokoOdell9923personal@protonmail.com","4EFR38JM1NHL73M52QPU","Yoko","Odell","8641 Business Ln. Tuscaloosa TN"
